,name,rating,total_rating_given,price_level,address
120,Hongbao,4.5,182,not specified,65 Gulshan Ave
121,Manin Chun-Ji Chinese & Thai Restaurant,3.6,266,$$,"1/1, A, Free School Street, Sonargaon Road"
122,Roll Xpress Cafe,4.4,"1,376",$$,"House 34, Block B Rd No # 21"
123,Cafe Euphoria,3.8,245,$$,100 Rd No. 11
124,Thai Signatures,4.3,448,$$,House 6/A Rd 113
125,Nirob Hotel,3.9,"2,378",$$,"H.No 114 নাজিমুদ্দিন রোড, Near Old Central Jail"
126,Dark Burg Dhaka,4.9,15,$$,"Sultan Mansion, Signature Food Court Roof Top (8th Floor) Holding No. 3, 12 Begum Rokeya Avenue"
127,Sky View Restaurant,3.9,465,$$,"Novo Tower, 270, 15th Floor, Shaheed Tajuddin Ahmed Ave"
128,New Melbourne Thai & Chinese Restaurant,3.7,389,not specified,"220/A/2/1, বেগম রোকেয়া সরণী, West Kafrul, Mirpur"
129,Chilis,4.1,"1,709",$$$,420 Ring Rd
130,XINXIAN Restaurant,4.0,"1,899",$$,"House No, 1 Rd No 8"
131,China Sizzling Restaurant/ Vooter Adda,3.9,"1,812",$$,Opens at 11:30 AM
132,Ulta Voot The Restaurant,3.9,622,$$,House 36 Road No. 2
133,Shadhin Restaurant,3.6,170,$,"2/GA/1, Nabab Habibullah Road"
134,Chalet Restaurant & Bar,4.4,"1,945",$$$,"45, Saudia Trade Center, Kazi Nazrul Islam Ave"
135,Pizza Guy,4.3,"3,464",$$,"House 1113, Road 17, Block I Bashundahra Residential Area Bashundhara, Dhaka 1229"
136,The Great Kabab Factory,4.2,681,$$,"Shop #1C-037, 1st Floor, Jamuna Future Park KA 244, Kuril, Pragati Shoroni"
137,AMERICAN BURGER 🍔,4.4,628,$$,"Metropolitan Shopping Plaza Shop#21.22, Road#46"
138,Soi 71 Roofgarden,4.2,459,$$,17 Sonargaon Janapath
139,Cafe liquid,3.8,46,$$,"Madani Avenue, shamsher nagar Bara Beraid"
140,Palm View Hotel and Restaurant,4.3,"1,824",not specified,Not Provided
141,Attin Arabian Restaurant,4.3,100,not specified,Rd No 27
142,Hakka Dhaka,4.1,954,$$,2 Baily Rd
143,Mouri Restaurant,4.0,129,not specified,30 Bijoy Nagar Road
144,Sultani Vojj Restaurant,3.7,197,$$,P9JP+WCC
145,Piccadilly Restaurant,3.6,827,$$,"21, Monipuri Para, Sangshad Avenue,"
146,kiyoshi,4.4,820,$$$,Opens at 12:00 PM
147,FEAST Restaurant,3.9,8,$$,"FARS Hotel Resort, Shahid Syed Nazrul Islam Sharani"
148,আপন রেস্টুরেন্ট,3.4,7,$$,QCP6+H5H
149,The Dark Music Cafe And Restaurant,3.7,"1,743",$$,"ZR Plaza, Level#10 Satmasjid, Road No# 19(old),Road No# 9A(new), Dhanmondi, Dhaka"
150,The Buffet Stories,4.0,"2,352",$$,58 Rd 10/A
151,Oliver's Restaurant,3.8,796,$$,568/C khilgaon
152,IQRA Restaurant,3.8,886,$$,586 Begum Rokeya Avenue
153,Radhuni Restaurant,4.0,353,$$,"1st floor, House No, Sultan Ahmed Plaza, 32 Purana Paltan"
154,Da Rooftop,4.0,"1,569",$$,"397/b, khilgaon Chowdhury Para, Shahid Baki Rd"
155,Pizza Hut,4.0,"1,170",$$,"41,A K Famous Tower, Rankin St"
156,BURGEROLOGY,4.3,"1,814",$$,"Burgerology , Ka-7/2, (2nd Floor, Bashundhara Rd"
157,Spice Route Restaurant,3.7,310,$$,380
158,FARHENCE Chinese & Thai Restaurant,3.9,285,$$,19 Gate No 3 Monipuri Para Sangsad Bhaban Avenue
159,Ozong Restaurant,3.8,324,$$,"K.B. Rangs Square, 2nd Floor, 49/A Satmasjid Road, Dhanmondi, Opposite To Kakoli High School"
160,The Great Kabab Factory,4.0,2,$$,"181/1 (old), 54 (new), Road no. 20 (old 10/A (new), 7th Floor"
