,name,rating,total_rating_given,price_level,address
107,Pizza Shop,0,0,$$,"New I-Block, house13"
108,Mermaid Cafe,4.2,"2,250",$$$,"Near Dragon Mart, Kolatoli Road, Sugandha Beach Sea In point, Hotel Motel"
109,Salt Bistro & Cafe,4.3,"1,128",$$,"10, Kalatoli, Hotel-Motel Zone"
110,KHAZANA,4.3,237,$$,House#8 Rd 53
111,Latest Recipe,4.6,39,$,Le Méridien Dhaka 79/A Commercial Area Dhaka
112,Purnima Restaurant,3.7,"1,174",$$,"50, Habib Market, Gulshan Avenue, Gulshan 1, Opposite Navana Tower"
113,Takeout Banani,4.4,"5,435",$$,"Plot No. 35, Abedin Tower, 1st Floor, Road No 17, Kamal Ataturk Ave"
114,"ইকবাল হোটেল এন্ড রেস্টুরেন্ট , নেছারাবাদ, ঝালকাঠি",5.0,4,$$$,M54W+QH2
115,Sushi Tei Bangladesh,4.3,882,$$$,"House NO, 21 Rd 112"
116,Times Square Hotel and Restaurant,3.3,"4,873",$$,Dhaka - Chittagong Hwy
117,Izakaya,4.5,"1,116",$$$,"Green Rawshanara Tower (Level – 9) 755, Satmasjid Road, C/A"
118,ASHIANA RESTAURANT AND CONFERENCE CENTER,4.1,212,$$,94 Kazi Nazrul Islam Ave
119,Barcode Cafe,4.3,"3,787",$$,House 55/B Rd No # 21
120,O' Play Restaurant,4.2,"1,121",$$$,"House 16, Road No: 32, Gulshan - 1, Dhaka - 1212 Dhaka"
121,Lounge Comida,4.2,202,$$$,"House No.: 2, Road No. 22 & 23, Gulshan R/A"
122,Bar B Q Tonite,4.3,"2,786",$$,"House No.36, Road No.16 (NEW) , 27(OLD) Dhanmondi R/A"
123,Absolute BBQ BD,4.2,"1,986",$$$,"Ahmed and Kazi tower, Level 7, Road 2, 35 Dhanmondi R/A"
124,Roll Xpress Cafe,4.4,"1,375",$$,"House 34, Block B Rd No # 21"
125,Chef's Table Gulshan,4.6,36,not specified,2nd Floor
126,Breeze Restaurant,4.0,70,not specified,"House# 1/C, 1/D, Road# 16"
127,Bird's Eye Roof Top Restaurant and Convention Hall,4.1,"1,837",$$$,"Baitul View Tower, H.No 56/1 19th floor"
128,Hangout Restaurant,3.9,860,$$,"R Plaza, H.No 746, level 11, Rupayan Z (Old - 9/a), Satmasjid Road, 1209 Rd No 19"
129,Raffinato Ristorante Italiano,4.2,289,not specified,H 9 Rd 36
130,"Spaghetti Jazz, Dhaka",4.2,781,$$$,"Rob Bhaban. Plot 3 ( 4th floor) , Gulshan circle II"
131,Cafe Al Baik,3.6,154,not specified,"1st Floor, M A Aziz Stadium Market, Kazir Dewri"
132,Olea,4.2,67,not specified,Le Méridien Dhaka 79/A Commercial Area Dhaka
133,STREET FOOD RESTAURANT,3.9,155,$,"House#25, 1st Floor, 10"
134,"Aqua Deck , InterContinental Dhaka",4.5,24,$$,1 Minto Rd
